Date,PriceOfA,PriceOfB,Position,Quantity,NetBalance,Profit,Loss,CumulProfit,CumulLoss
1992-10-29,103.125,108.34375,Short,-5,9845.591499999993,515.625,0.5,267889.2235000001,268558.757
1992-10-30,102.75,107.875,Long,5,8817.091499999993,0.0,1028.5,268404.8485000001,268559.257
1992-10-31,102.75,107.875,Closed,0,9330.341499999993,513.75,0.5,268404.8485000001,269587.757
1992-11-01,102.75,107.875,Closed,0,9330.341499999993,0.0,0.0,268918.5985000001,269588.257
1992-11-02,102.5,107.46875,Long,10,8304.341499999993,0.0,1026.0,268918.5985000001,269588.257
1992-11-03,102.688,107.578125,Closed,0,9330.221499999992,1026.88,1.0,268918.5985000001,270614.257
1992-11-04,102.312,107.53125,Closed,0,9330.221499999992,0.0,0.0,269945.4785000001,270615.257
1992-11-05,102.312,107.640625,Closed,0,9330.221499999992,0.0,0.0,269945.4785000001,270615.257
1992-11-06,101.469,107.234375,Long,10,8314.531499999992,0.0,1015.6899999999999,269945.4785000001,270615.257
1992-11-07,101.469,107.234375,Closed,0,9328.221499999992,1014.6899999999999,1.0,269945.4785000001,271630.947
1992-11-08,101.469,107.234375,Closed,0,9328.221499999992,0.0,0.0,270960.1685000001,271631.947
1992-11-09,101.594,107.0,Long,10,8311.281499999992,0.0,1016.9399999999999,270960.1685000001,271631.947
1992-11-10,102.469,107.390625,Long,5,8823.126499999991,512.345,0.5,270960.1685000001,272648.887
1992-11-11,102.719,107.671875,Closed,0,9336.22149999999,513.595,0.5,271472.51350000006,272649.387
1992-11-12,103.469,107.890625,Short,-5,9853.06649999999,517.345,0.5,271986.10850000003,272649.887
1992-11-13,103.469,107.5,Long,5,8817.37649999999,0.0,1035.69,272503.4535,272650.387
1992-11-14,103.469,107.5,Closed,0,9334.221499999989,517.345,0.5,272503.4535,273686.077
1992-11-15,103.469,107.5,Closed,0,9334.221499999989,0.0,0.0,273020.7985,273686.577
1992-11-16,103.406,106.90625,Long,10,8299.16149999999,0.0,1035.06,273020.7985,273686.577
1992-11-17,103.656,107.0625,Long,5,8816.94149999999,518.28,0.5,273020.7985,274721.637
1992-11-18,104.094,107.5,Closed,0,9336.91149999999,520.47,0.5,273539.0785,274722.137
1992-11-19,103.75,107.390625,Closed,0,9336.91149999999,0.0,0.0,274059.5485,274722.637
1992-11-20,103.75,107.234375,Long,10,8298.41149999999,0.0,1038.5,274059.5485,274722.637
1992-11-21,103.75,107.234375,Closed,0,9334.91149999999,1037.5,1.0,274059.5485,275761.137
1992-11-22,103.75,107.234375,Closed,0,9334.91149999999,0.0,0.0,275097.0485,275762.137
1992-11-23,103.688,107.203125,Closed,0,9334.91149999999,0.0,0.0,275097.0485,275762.137
1992-11-24,103.938,107.515625,Short,-5,9854.10149999999,519.69,0.5,275097.0485,275762.137
1992-11-25,103.844,107.234375,Long,5,8814.66149999999,0.0,1039.44,275616.7385,275762.637
1992-11-26,103.844,107.234375,Closed,0,9333.381499999989,519.22,0.5,275616.7385,276802.077
1992-11-27,103.156,106.796875,Long,10,8300.82149999999,0.0,1032.56,276135.95849999995,276802.577
1992-11-28,103.156,106.796875,Closed,0,9331.381499999989,1031.56,1.0,276135.95849999995,277835.137
1992-11-29,103.156,106.796875,Closed,0,9331.381499999989,0.0,0.0,277167.51849999995,277836.137
1992-11-30,103.156,106.796875,Closed,0,9331.381499999989,0.0,0.0,277167.51849999995,277836.137
1992-12-01,103.406,106.859375,Closed,0,9331.381499999989,0.0,0.0,277167.51849999995,277836.137
1992-12-02,103.375,106.8125,Closed,0,9331.381499999989,0.0,0.0,277167.51849999995,277836.137
1992-12-03,103.5,106.984375,Short,-5,9848.381499999989,517.5,0.5,277167.51849999995,277836.137
1992-12-04,104.344,107.5,Short,-5,9848.381499999989,0.0,0.0,277685.01849999995,277836.637
1992-12-05,104.344,107.5,Closed,0,9326.16149999999,0.0,522.22,277685.01849999995,277836.637
1992-12-06,104.344,107.5,Closed,0,9326.16149999999,0.0,0.0,277685.01849999995,278358.85699999996
1992-12-07,105.125,107.75,Short,-5,9851.28649999999,525.625,0.5,277685.01849999995,278358.85699999996
1992-12-08,105.344,108.015625,Short,-5,9851.28649999999,0.0,0.0,278210.64349999995,278359.35699999996
1992-12-09,105.344,107.921875,Closed,0,9324.06649999999,0.0,527.22,278210.64349999995,278359.35699999996
1992-12-10,105.406,107.796875,Closed,0,9324.06649999999,0.0,0.0,278210.64349999995,278886.57699999993
1992-12-11,105.281,107.59375,Closed,0,9324.06649999999,0.0,0.0,278210.64349999995,278886.57699999993
